Question,Answer,Feedback
What is the PCC grade entry deadline for final phase projects?,Final Phase Project PCC grade entry must be completed by 04.07.2025.,Yes
Which platform is used for Phase 3 project registration?,Phase 3 registration is done using SAP/SLcM.,Yes
Who is the instructor for the course E2 251o?,A. Chockalingam is the instructor for E2 251o.,Yes
What is the credit structure of E1 316o?,E1 316o has a credit structure of 2:1.,Yes
Which stream does course DA 225o belong to?,DA 225o belongs to the DSBA stream.,Yes
On which days is E2 276o scheduled?,"E2 276o is scheduled on Mon, Wed & Fri.",Yes
What is the Teams code for E2 251o?,The Teams code for E2 251o is g9v3tk4.,Yes
Who are the instructors for E1 316o?,"E1 316o is taught by Shishir N Y, Pushpak, and Ravi.",Yes
What is the Moodle enrolment key for DA 225o?,The Moodle enrolment key for DA 225o is Deep@learn.,Yes
What is the class timing for E2 251o?,"E2 251o is held from 5:30 PM to 7:00 PM on Mon, Wed & Fri.",Yes
Who is the course TA for E2 276o?,Twinkle is the course TA for E2 276o.,Yes
Which platform link hosts the E1 316o course?,E1 316o is hosted at https://courses.iisc.ac.in/course/view.php?id=196,Yes
Which division offers the M.Tech (Online) program in ECE?,"The Division of Electrical, Electronics, and Computer Sciences offers the ECE program.",Yes
What is the typical experience level targeted by the ECE program?,The program is designed for early-career professionals with 2–10 years of experience.,Yes
What is the total credit requirement for core courses in the 2023 ECE batch?,The August 2023 batch requires 16 core course credits.,Yes
Which core course is included in all batches from 2021 to 2023?,Random Processes is a core course common to all batches.,Yes
How many elective credits are required in the 2021 ECE batch?,The 2021 batch must complete at least 24 elective credits.,Yes
What is the credit structure for 'Linear Algebra' in the 2023 batch?,Linear Algebra has a 3:1 credit structure for the 2023 batch.,Yes
Which core course is unique to the 2021 ECE curriculum?,Detection and Estimation is included only in the 2021 batch.,Yes
What is the total credit for the ECE project?,The project is worth 28 credits in total.,Yes
How many project credits are completed in the first term?,Students complete 10 project credits in the first term.,Yes
When can the second term of the ECE project be taken?,The second term project starts only after all courses are completed.,Yes
Who approves the goals of the ECE capstone project?,An IISc faculty mentor approves the project goals.,Yes
What role does the in-house company guide play?,The company guide offers active feedback and close support.,Yes
Which committee appoints the evaluation team for the project?,The evaluation committee is appointed by the PCC.,Yes
Name a sample elective course in the ECE curriculum related to machine learning.,Machine Learning for Wireless Communication is a sample elective.,Yes
Who teaches the ECE online courses?,The courses are taught online by faculty from the Department of ECE.,Yes
How many core course credits are required in the 2024 DSBA curriculum?,Core courses for the 2024 batch total 12 credits.,Yes
What is the total credit requirement for the DSBA project?,The DSBA project is worth 32 credits.,Yes
When can students begin the DSBA project?,Students can begin the project after completing all core courses.,Yes
How many project credits are completed before the final evaluation?,20 project credits are completed before the final evaluation.,Yes
What is the credit distribution for the final semester project evaluation?,The final evaluation happens in an exclusive semester for 12 project credits.,Yes
Name a core course in the 2024 batch DSBA curriculum.,Data Science in Practice is a core course in the 2024 batch.,Yes
Which course appears as a core subject in both the 2023 and 2024 batches?,Data Science in Practice is a core course for both 2023 and 2024 batches.,Yes
What elective covers financial topics in the DSBA curriculum?,Financial Analytics is an elective course.,Yes
What elective focuses on healthcare AI applications?,Applied Artificial Intelligence in Healthcare is a listed elective.,Yes
How many elective credits must a DSBA student take at minimum?,Students must take a minimum of 20 elective credits.,Yes
Which course appears as an elective but is a core course in 2023?,Applied AI is an elective but also a core course in the 2023 batch.,Yes
Can students take electives from other streams?,Students may also take electives from any of the three streams.,Yes
What is a sample elective related to network science?,Linear optimization and Network science is a listed elective.,Yes
Which batch includes 'Introduction to Computing for AI & ML' as a core course?,Introduction to Computing for AI & ML is a core course for 2021 and 2022 batches.,Yes
Who approves the DSBA project goals?,Project goals are approved by the IISc faculty mentor.,Yes
Who provides close support for the DSBA project?,The company guide offers active feedback and close support.,Yes
Which committee appoints the DSBA evaluation committee?,The evaluation committee is appointed by the PCC.,Yes
What is a core course for the 2021 and 2022 batches related to data science?,Introduction to Data Science is a core course for the 2021 and 2022 batches.,Yes
Is Data Mining listed as a DSBA elective?,Data Mining is included as an elective course.,Yes
What is the credit structure of core courses like Data Engineering at Scale?,Courses such as Data Engineering at Scale have a 3:1 credit structure.,Yes
What is the minimum number of elective credits required?,Students must take at least 21 elective credits.,Yes
How many credits is the project worth?,The project is worth 27 credits.,Yes
When can a student begin the project?,Students may start the project after successfully completing all the core courses.,Yes
How many project credits are completed in the first term?,Students complete 3 project credits in the 1st term.,Yes
Which course covers reinforcement learning?,E1 277o is the course on Reinforcement Learning.,Yes
What is the credit structure of elective courses like DA 201o and DS 216o?,Each elective course like DA 201o has a 3:1 credit structure.,Yes
Who approves the project goals?,The project goals are approved by an IISc faculty mentor.,Yes
What role does the in-house company guide play?,The in-house company guide offers active feedback and close support.,Yes
How many core course credits are required for 2021 and 2022 batches?,The core courses total 14 credits.,Yes
Which committee appoints the project evaluation committee?,The evaluation committee is appointed by the Programme Curriculum Committee (PCC).,Yes
When is Makar Sankranti in 2025?,"Makar Sankranti is on January 14, 2025, which falls on a Tuesday.",Yes
On what day does Republic Day fall in 2025?,Republic Day falls on a Sunday in 2025.,Yes
What is the date of Id-ul-Fitr in 2025?,"Id-ul-Fitr is on March 31, 2025, which is a Monday.",Yes
"Which holiday falls on April 10, 2025?","Mahavir Jayanti is on April 10, 2025.",Yes
"What holiday is observed on May 12, 2025?","Budha Purnima is observed on May 12, 2025.",Yes
When is Bakrid (Id-ul-Zuha) in 2025?,"Bakrid is on June 7, 2025, which is a Saturday.",Yes
"Which holiday is on August 15, 2025?","Independence Day is on August 15, 2025.",Yes
What is the date of Dussehra in 2025?,"Dussehra is on October 1, 2025.",Yes
On which day does Diwali fall in 2025?,Diwali falls on a Monday in 2025.,Yes
When is Christmas celebrated in 2025?,"Christmas is on December 25, 2025, which is a Thursday.",Yes
How many students are assigned to Aditya Gopalan?,Aditya Gopalan is guiding 3 students.,Yes
What is the email ID of Ambedkar Dukkipati?,Ambedkar Dukkipati's email ID is ambedkar@iisc.ac.in.,Yes
Who is the faculty mentor with the email css@iisc.ac.in?,css@iisc.ac.in belongs to Chandra Sekhar Seelamantula.,Yes
How many students is Chandra Sekhar Seelamantula currently guiding?,Chandra Sekhar Seelamantula is assigned 5 students.,Yes
What is the full name of the mentor with email prathore@iisc.ac.in?,prathore@iisc.ac.in is the email of Punit Rathore.,Yes
Which faculty member is guiding the maximum number of students?,Punit Rathore is guiding the maximum of 6 students.,Yes
What is the student count under Shalabh Bhatnagar?,Shalabh Bhatnagar is assigned 3 students.,Yes
Is any mentor guiding more than 6 students?,No faculty mentor is guiding more than 6 students.,Yes
How many students is Ambedkar Dukkipati mentoring?,Ambedkar Dukkipati is mentoring 4 students.,Yes
Who has exactly 3 students assigned under their mentorship?,Aditya Gopalan and Shalabh Bhatnagar each have 3 students.,Yes
Does Chandra Sekhar Seelamantula have more students than Ambedkar Dukkipati?,"Chandra Sekhar Seelamantula has 5 students, one more than Ambedkar Dukkipati who has 4.",Yes
Which faculty mentor is associated with the email shalabh@iisc.ac.in?,The email shalabh@iisc.ac.in belongs to Shalabh Bhatnagar.,Yes
What is the highest number of students assigned to any faculty mentor?,The highest number of students assigned is 6.,Yes
Is Punit Rathore at the mentorship limit?,Punit Rathore has reached the maximum limit of 6 students.,Yes
Are there any mentors with fewer than 4 students?,Aditya Gopalan and Shalabh Bhatnagar are mentoring fewer than 4 students.,Yes
Who completed the project titled 'Outlier Detection in Firewall Health'?,The project was completed by MANISH S B.,Yes
Which student worked on 'GRANO-GAN Gradient Normalized Anomaly Detection'?,NAVEEN RUDRAPPA worked on the GRANO-GAN project.,Yes
What stream was Anwesha Mohanty enrolled in?,Anwesha Mohanty was enrolled in the M.Tech (Online) AI stream.,Yes
In which term was the project 'Real Time Unsupervised Defection Detection and Reporting' completed?,The project was completed in Summer 2023.,Yes
Who mentored the project on endpoint anomaly detection?,Prathosh A P was the faculty mentor for the endpoint anomaly detection project.,Yes
Which student was mentored by Shashi Jain?,Shashi Jain mentored NAVEEN RUDRAPPA.,Yes
Who is the faculty mentor for the project on firewall health?,Haresh Dagale mentored the firewall health project.,Yes
What was the title of the project completed by KOUSHIK P G?,KOUSHIK P G worked on 'Anomaly detection in the behaviour of endpoint processes'.,Yes
Who was the mentor for the project titled 'User Cold-Start Recommendation using Reinforcement Learning'?,The mentor for the cold-start recommendation project was Shalabh Bhatnagar.,Yes
Which student worked under Chandra Sekhar Seelamantula?,PARTH DHIR was mentored by Chandra Sekhar Seelamantula.,Yes
What is the duration of the January–April 2025 term?,The standard academic session runs from 01.01.2025 to 30.04.2025.,Yes
When do classes begin in the January 2025 term?,The first day of classes is 01.01.2025.,Yes
What are the course registration dates for January 2025 term?,Course registration is allowed from 01.01.2025 to 15.01.2025.,Yes
By when must DCC and instructors approve course registrations?,The last date for DCC and instructor approval of course registration is 17.01.2025.,Yes
When is course registration auto-approved?,Auto approval of course registration is on 18.01.2025.,Yes
What are the dates for course dropping without mention?,Course dropping without mention is permitted from 19.01.2025 to 21.02.2025.,Yes
When is course dropping without mention auto-approved?,Auto approval for course dropping without mention is on 25.02.2025.,Yes
When will the end term examination be held?,The end term examination is scheduled from 21.04.2025 to 30.04.2025.,Yes
What is the last day of classes for the term?,The last day of classes is 11.04.2025.,Yes
When will exam results be published?,Exam results will be published on 20.05.2025.,Yes
What are the start and end dates of the Summer Term 2025?,The Summer Term runs from 01.05.2025 to 30.06.2025.,Yes
When does course registration start and end?,Course registration is from 01.05.2025 to 07.05.2025.,Yes
What is the first day of classes in the Summer Term 2025?,The first day of classes is 01.05.2025.,Yes
By when must course registration be approved by DCC and instructors?,Course registration approvals are due by 09.05.2025.,Yes
When will course registration be auto-approved if no action is taken?,Auto approval of course registration is on 10.05.2025.,Yes
What is the window for dropping a course without mention?,Course dropping without mention is allowed from 11.05.2025 to 30.05.2025.,Yes
When is course dropping without mention auto-approved?,Auto approval of course dropping without mention is on 03.06.2025.,Yes
What are the dates for dropping a course with mention?,Course dropping with mention is between 04.06.2025 and 13.06.2025.,Yes
When will the end term exam be held?,The end term examination is scheduled for 27.06.2025.,Yes
When will exam results be published?,Exam results will be published on 17.07.2025.,Yes
Who is the M.Tech. (Online) Coordinator?,Prof. Yogesh Simmhan is the M.Tech. (Online) Coordinator.,Yes
What is Prof. Yogesh Simmhan's department?,Prof. Yogesh Simmhan is from the CDS department.,Yes
What is the contact email for the IKEN Office?,IKEN Office can be reached at office.iken@iisc.ac.in.,Yes
Who chairs the Programme Coordination Committee?,Prof. G L Sivakumar Babu is the chair of the Programme Coordination Committee.,Yes
Which department is Prof. G L Sivakumar Babu from?,Prof. G L Sivakumar Babu is from Civil Engineering.,Yes
Name a faculty member on the AI stream PCC from RBCCPS.,Dr. Shishir N Y is on the AI stream PCC from RBCCPS.,Yes
Who is the convenor of the AI Stream PCC?,Prof. Chandramani Singh is the convenor of the AI Stream PCC.,Yes
Which department is Prof. Chandramani Singh associated with?,Prof. Chandramani Singh is from the ESE department.,Yes
Who is the convenor of the DSBA Stream PCC?,Dr. Deepak Subramani is the convenor of the DSBA Stream PCC.,Yes
What is Dr. Deepak Subramani’s email?,Dr. Deepak Subramani can be contacted at deepakns@iisc.ac.in.,Yes
Who is a member of both DSBA PCC and the Management Studies department?,Dr. Shashi Jain is on the DSBA PCC and from Management Studies.,Yes
Who is the convenor of the ECE Stream PCC?,Dr. Sundeep Chepuri is the convenor of the ECE Stream PCC.,Yes
Which ECE faculty member also holds a Dean position?,Prof. Rajesh Sundaresan is Dean of EECS and part of the ECE faculty.,Yes
Who is the Chair of ECE?,Prof. K J Vinoy is the Chair of ECE.,Yes
Name an Assistant Registrar for Academics - I.,Mr. Anoop Yadav is Assistant Registrar for Academics - I.,Yes
Who provides technical support in IKEN?,Selvam Raja and Guruprakash are part of IKEN’s technical support team.,Yes
Who is the Dean of the Faculty of Science?,Prof. S Asokan is the Dean of the Faculty of Science.,Yes
Name the Dean of Interdisciplinary Sciences.,Prof. Navakanta Bhat is the Dean of the Division of Interdisciplinary Sciences.,Yes
Who provides administrative support at IKEN?,Bharath M and Archana Kumar provide administrative support at IKEN.,Yes
Who is the consultant on the IKEN team?,Akanksha Sood is a consultant in the IKEN team.,Yes
Who is the M.Tech. (Online) Coordinator?,Prof. Yogesh Simmhan is the M.Tech. (Online) Coordinator.,Yes
What is the email for contacting the IKEN Office?,IKEN Office can be contacted at office.iken@iisc.ac.in.,Yes
Who is the Dean of the Faculty of Engineering?,"Prof. Jayant Modak is the Dean, Faculty of Engineering.",Yes
Who chairs the M.Tech. (Online) Programme Co-ordination Committee?,Prof. G L Sivakumar Babu chairs the M.Tech. (Online) Programme Co-ordination Committee.,Yes
Who is the convenor for the AI Stream Program Curriculum Committee?,Prof. Chandramani Singh is the convenor of the AI Stream PCC.,Yes
Which department is Dr. Deepak Subramani from?,Dr. Deepak Subramani is from the CDS department.,Yes
Who is the convenor of the DSBA stream?,Dr. Deepak Subramani is the convenor of the DSBA stream.,Yes
Which ECE faculty member is also Dean of the Division of EECS?,"Prof. Rajesh Sundaresan is the Dean of the Division of Electrical, Electronics and Computer Sciences.",Yes
Who provides administrative support at IKEN?,Bharath M and Archana Kumar provide administrative support at IKEN.,Yes
Name one Assistant Registrar in Academics.,Mr. Anoop Yadav is an Assistant Registrar in Academics - I.,Yes
What does an 'F' grade indicate?,'F' is a failing grade.,Yes
Can a student graduate with an uncleared 'F' grade?,A student cannot graduate until they clear an 'F' grade.,Yes
How many chances are given to clear an 'F' grade?,Only one chance is provided to the student to clear the ‘F’ grade.,Yes
What happens if a student fails again while clearing an 'F' grade?,"If the student gets an ‘F’ again, they will not be allowed to continue in the programme.",Yes
Can a student retake a course to improve a passing grade?,Repetition of courses is permitted only to clear ‘F’ grades.,Yes
What type of course must be repeated if an 'F' is obtained in a hardcore course?,"If the ‘F’ grade is obtained in a hardcore course, the same course must be repeated.",Yes
Is a student eligible for distinction after getting an 'F' grade?,Getting an ‘F’ grade makes the student ineligible for the award of Distinction.,Yes
How is an 'F' grade treated in CGPA computation after it is cleared?,The ‘F’ grade will be omitted from TGPA and replaced in CGPA computation.,Yes
What is required to get an 'X' grade instead of an 'F' due to medical reasons?,Students must submit a medical certificate certified by the CMO to receive an ‘X’ grade.,Yes
What happens if the ‘X’ grade is not cleared within the deadline?,The ‘X’ grade will lapse and be converted to an ‘F’ grade after the deadline.,Yes
What is the application fee for the M.Tech (Online) program?,"The application fee for the M.Tech (Online) program is ₹2,000.",Yes
How much is the tuition fee per course credit?,"The tuition fee is ₹22,500 for each course credit.",Yes
What is the project credit fee?,"The project credit fee is ₹5,000.",Yes
What is the annual academic fee?,"The academic fee payable annually is ₹3,700.",Yes
How much is the statutory deposit?,"The one-time statutory deposit is ₹7,500, refundable at graduation.",Yes
What is the library deposit amount?,"The library deposit is ₹7,500 and is refundable.",Yes
What is the estimated total fee for the AI stream?,"The anticipated cost for the Artificial Intelligence stream is ₹9,78,600.",Yes
How long is the nominal duration for each stream?,The nominal registration period for each stream is 3 years.,Yes
What is the registration fee for the full duration?,"The total registration fee for 3 years is ₹11,100.",Yes
What is the minimum course credit requirement for AI stream?,The Artificial Intelligence stream requires a minimum of 37 course credits.,Yes
What is the project credit requirement for Data Science stream?,The Data Science and Business Analytics stream needs 32 project credits.,Yes
What is the anticipated cost for the ECE stream?,"The Electronics and Communication Engineering stream costs ₹9,61,100.",Yes
How are term fees calculated?,Term-wise fees depend on the number of registered course and project credits.,Yes
When is the annual academic fee due?,The annual academic fee is payable in the August term.,Yes
What is the payment deadline after the fee request?,Students must pay the fee within 30 days of the request being raised.,Yes
Where can students view fee payment requests?,Fee requests are posted on the Receipts Portal.,Yes
When is the receipt available after payment?,Receipts are auto-generated within 5 days after successful fee payment.,Yes
Who to contact for payment issues?,Contact receipts.fna@iisc.ac.in and copy office.iken@iisc.ac.in for payment issues.,Yes
Will fees be refunded if a course is dropped after the deadline?,Course fees are not refunded if dropped after the drop-without-mention deadline.,Yes
What happens to the fee if a course is dropped before the deadline?,Fees for dropped courses before the deadline are retained as credit for future terms.,Yes
